Nuclide;Z;N;Atomic Mass;Half-life;Decay modes;Spin;natural abundance;resonance width;Magic Numbers
H;1;0;1.007825;s;s;3;0.999885;;
H;1;1;2.014101;s;s;6;0.000115;;
H;1;2;3.016049;388523520;b-;3;0;;
H;1;3;4.02643;1.39E-22;n;-12;;0.6;
H;1;4;5.03531;9.1E-22;2n;3;;0.5;
H;1;5;6.04496;2.9E-22;3n:0.5|4n:0.5;-12;;0;
H;1;6;7.05275;5.0E-22;4n;3;;;
He;2;0;2.01589;1.0E-9;p:0.9999|b+:0.0001;0;;;
He;2;1;3.01602;s;s;3;1.34E-6;;
He;2;2;4.00260;s;s;0;0.999999866;;
He;2;3;5.01205;7.0E-22;n;-9;;;
He;2;4;6.01888;0.806;b-;0;;;
He;2;5;7.02799;2.51E-21;n;-9;;;
He;2;6;8.03394;0.119;b-:0.83|b- n:0.161|b- f :0.9;0;;;
He;2;7;9.04395;2.5E-21;n;3;;;
He;2;8;10.0528;3.1E-21;2n;0;;;
